'GEWONNEN'
'VERLOREN'
'REMIS'
'Loslassen'
'Dein Zug'
'Gegnerischer Zug'
'Karte ablegen'
'Karte zum Setzen wählen'
'Feld zum Setzen wählen'
'Nicht im Besitz'
'Keine anderen Karten im Besitz'
'Kampfbeginn'
'Erste Runde'
'Zweite Runde'
'Fast geschafft!'
'Flush'
'Straight'
'Straight Flush'
'Gleiche Art'
'Standard'
'Keine Siege'
"'<align=""center"">Glitzerhintergrund wird durch Sammeln bestimmter Karten freigeschaltet.\n<sprite name=star_on><sprite name=star_off><sprite name=star_off><sprite name=star_off>: 20 Karten\n<sprite name=star_on><sprite name=star_on><sprite name=star_off><sprite name=star_off>: 15 Karten\n<sprite name=star_on><sprite name=star_on><sprite name=star_on><sprite name=star_off>: 10 Karten\n<sprite name=star_on><sprite name=star_on><sprite name=star_on><sprite name=star_on>:   5 Karten'"
'Anleitung anzeigen'
'Anleitung Kartenspiele'
'Endergebnis'
"'<align=""center"">Glitzerhintergrund wird durch Sammeln bestimmter Karten freigeschaltet.\n<sprite name=star_on><sprite name=star_off><sprite name=star_off><sprite name=star_off>: 20 Karten\n<sprite name=star_on><sprite name=star_on><sprite name=star_off><sprite name=star_off>: 15 Karten\n<sprite name=star_on><sprite name=star_on><sprite name=star_on><sprite name=star_off>: 10 Karten\n<sprite name=star_on><sprite name=star_on><sprite name=star_on><sprite name=star_on>:   5 Karten\nGlitzerhintergrund {0}?'"
'Bestätigen'
'Aktivieren'
'Deaktivieren'
'Kartenhintergrund ändern'
'Ordnen'
'RANG'
'DECK'
'Keine Fähigkeit'
'Kraft +9, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft +9 beim Ausspielen, wenn SP des Gegners höher sind als deine.'
'Setzt die Werte roter Karten auf ihrem eigenen Feld auf 9.'
'Kraft +7, wenn eine blaue Karte auf dem Feld des Gegners liegt.'
'Kraft +6, wenn Karte mit 8 Kraft oder höher auf Feld des Gegners liegt.'
'Kraft +7, wenn alle deine Karten auf dem Feld gerade Kraftwerte haben.'
'Kraft +7, wenn deine anderen zwei Karten weniger oder gleiche Kraft haben.'
'Kraft +6, wenn alle deine Karten auf dem Feld ungerade Kraftwerte haben.'
'Stiehlt 1 FP beim ausspielen, wenn das Feld des Gegners FP hat.'
'Kraft +5, wenn Karte mit 8 Kraft oder höher auf Feld des Gegners liegt.'
'Kraft +5, wenn alle deine Karten auf dem Feld gerade Kraftwerte haben.'
'Kraft +5 beim Ausspielen, wenn du über 4 oder mehr SP verfügst.'
'Dein Feld erhält FP +2.'
'Kraft +4, wenn alle deine Karten auf dem Feld ungerade Kraftwerte haben.'
'Kraft und FP +2, wenn alle Karten auf Feld unterschiedliche Farben haben.'
'Kraft +2, wenn alle deine Karten auf Feld unterschiedliche Farben haben.'
'Kraft +2, wenn eine rote Karte auf deinem Feld liegt.'
'Kraft und FP +2, wenn alle deine Karten auf Feld gerade Kraftwerte haben.'
'Kraft und FP +1, wenn alle Karten auf Feld unterschiedliche Farben haben.'
'Kraft +1, wenn eine rote Karte auf deinem Feld liegt.'
'Kraft +2, wenn alle deine Karten auf dem Feld ungerade Kraftwerte haben.'
'Kraft und FP +2, wenn alle Karten auf Feld unterschiedliche Farben haben.'
'Kraft +5, wenn alle Karten auf Feld unterschiedliche Farben haben.'
'Kraft +1, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft +1, wenn alle deine Karten auf dem Feld gerade Kraftwerte haben.'
'Dein Feld erhält FP +1.'
'Dein Feld erhält Kraft und FP +3.'
'Kraft +1, wenn Karte mit 8 Kraft oder höher auf Feld des Gegners liegt.'
'Kraft +1, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'FP +1 für dein Feld und das Feld des Gegners.'
'Dein Feld erhält Kraft und FP +2.'
'Kraft +9, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft +9 beim Ausspielen, wenn SP des Gegners höher sind als deine.'
'Setzt die Werte grüner Karten auf ihrem eigenen Feld auf 9.'
'Kraft +7, wenn eine gelbe Karte auf dem Feld des Gegners liegt.'
'Kraft +7, wenn alle deine Karten auf dem Feld gerade Kraftwerte haben.'
'Kraft +1 für jede Karte auf dem Feld des Gegners mit 7 Kraft oder höher.'
'Kraft +7, wenn deine anderen zwei Karten weniger oder gleiche Kraft haben.'
'Kraft +6, wenn alle deine Karten auf dem Feld ungerade Kraftwerte haben.'
'Stiehlt 1 FP beim ausspielen, wenn das Feld des Gegners FP hat.'
'Kraft +5, wenn Karte mit 8 Kraft oder höher auf Feld des Gegners liegt.'
'Kraft +5, wenn alle deine Karten auf dem Feld gerade Kraftwerte haben.'
'Kraft +5, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Dein Feld erhält FP +2.'
'Kraft +4, wenn alle deine Karten auf dem Feld ungerade Kraftwerte haben.'
'Kraft und FP +2, wenn alle Karten auf Feld unterschiedliche Farben haben.'
'Kraft +2, wenn eine grüne Karte auf deinem Feld liegt.'
'Kraft +2, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft und FP +2, wenn alle Karten auf dem Feld gerade Kraftwerte haben.'
'Kraft +1, wenn eine grüne Karte auf deinem Feld liegt.'
'Erhalte Kraft +2, wirf eine Karte von deiner Hand ab und ziehe eine Karte.'
'Kraft +2, wenn alle deine Karten auf dem Feld ungerade Kraftwerte haben.'
'Kraft und FP +2, wenn alle Karten auf Feld unterschiedliche Farben haben.'
'Dein Feld erhält FP +4.'
