'Ich soll mich um Tiere kümmern?\nAber ich muss Beigoma-Forschung betreiben ...\nAch, na schön, ich sollte wohl helfen.'
'Seht euch diese Bewegung an!'
'Ich, ein Beigoma-Professor, soll Bäume fällen?\nNun, vielleicht finde ich ja ein paar\nneue Beigoma-Materialien.'
'Sehet die Macht von Beigoma!'
'Ich bin zu beschäftigt mit meiner Beigoma-Forschung.\nIch kann doch keine Steine abbauen ...\nNun ja, hoffentlich finde ich zumindest ein paar Beigoma-Materialien.'
'Ich nenne diesen Stein „Beigomit“!'
'Die Minen bewachen?\nHm, das könnte eine gute Gelegenheit für eine Demonstration der Macht von Beigoma sein.\nIch werde es versuchen.'
'Sehet die Macht von Beigoma!'
'Oho, Holz sammeln, ja?\nVielleicht finde ich ja auch ein paar neue Beigoma-Materialien.\nMein Drehimpuls wird mich führen!'
'Sehet die Macht von Beigoma!'
'Vielleicht finde ich ein paar neue Beigoma-Materialien.\nJa, das ist die beste Motivation!\nMit dem Beigoma-Drehimpuls ist alles ein Kinderspiel!'
'Ich nenne diesen Stein „Beigomit“!'
'Hehe, die Macht von Beigoma macht\ndiese Art von Auftrag zum Kinderspiel.\nIch kann mich einfach zurücklehnen und entspannen.'
'Sehet und staunt, die Macht von Beigoma!'
'Hehe, die Macht von Beigoma macht\ndiese Art von Auftrag zum Kinderspiel.\nIch kann mich einfach zurücklehnen und entspannen.'
'Sehet und staunt, die Macht von Beigoma!'
'Die Beschaffung von Zutaten?\nAber ich möchte Beigoma erforschen ...\nNa schön, ich mach’s.'
'Seht euch diese Drehung an!'
'Die Beschaffung von Zutaten?\nAber ich möchte Beigoma erforschen ...\nNa schön, ich mach’s.'
'Seht euch diese Drehung an!'
'Hehe, die Macht von Beigoma macht\ndiese Art von Auftrag zum Kinderspiel.\nIch kann mich einfach zurücklehnen und entspannen.'
'Sehet und staunt, die Macht von Beigoma!'
'Hehe, die Macht von Beigoma macht\ndiese Art von Auftrag zum Kinderspiel.\nIch kann mich einfach zurücklehnen und entspannen.'
'Sehet und staunt, die Macht von Beigoma!'
'Hehe, die Macht von Beigoma macht\ndiese Art von Auftrag zum Kinderspiel.\nIch kann mich einfach zurücklehnen und entspannen.'
'Sehet und staunt, die Macht von Beigoma!'
'Hehe, die Macht von Beigoma macht\ndiese Art von Auftrag zum Kinderspiel.\nIch kann mich einfach zurücklehnen und entspannen.'
'Sehet und staunt, die Macht von Beigoma!'
