'Was willst du lesen?'
'D-du meinst das Buch?'
'Oh, Entschuldigung! Tut mir wirklich leid! Ich war ganz in dieses Buch vertieft ...\nEs ist wirklich gut!'
'Ich freue mich, dass so viele Leute\nFreude an der Bibliothek haben.'
'Wir haben einen schönen neuen Gedichtband.\nDen solltest du mal lesen.'
'Ich lerne intensiv,\num es in Carles zu schaffen.'
'Code L ist ... wunderbar. Er arbeitet immer so hart an seiner Forschung ...\nOh, meine Güte ...'
'Ich sollte auch ein paar Bücher über Strategie lesen.\nIch werde Melridge das nächste Mal fragen, wenn er da ist.'
'Wenn ich mehr Strategiebücher gelesen hätte,\nhätte ich vielleicht helfen können? Wenigstens etwas?\nVielleicht kann Melridge mir etwas beibringen.'
'Puh, ich flippe aus, als wäre gerade Finalwoche.\nGut, ich beruhige mich, wenn ich meinen Talisman behalte ...'
'Es scheint, als hättest du eine deiner besten Freundinnen verloren, oder?\nIch kann nur für sie beten ...'
'E-es ist fast vorbei, oder?\nIch ... flippe gerade irgendwie aus!'
'Nowa, das war eine große Leistung.\nDas hat mich motiviert, an die Universität von Carles zu gehen\nund selbst etwas zu erreichen.'
