'Dies ist die Geschichte von Isha, der schlauen, gütigen, schönen und absolut nicht habgierigen jungen Bürgermeisterin, die ihre Stadt Neu-Nevaeh wieder zum Leben erweckte.'
'Nicht so schnell. Die Hügelgräber sind tückisch. Du darfst nicht hineingehen!'
'Nein, nein, nein! Du kannst CJ nicht davon abhalten, zu tun, was sie will!'
'Das ist nicht nett ...'
'Keine Sorge. Überlass dieses kleine Problem mir!'
'Die drei waren anfangs wie Öl, Wasser und etwas Drittes das weder zu Öl NOCH zu Wasser passt. Aber mit der Zeit wurden sie beste Freunde.'
'Auf sie alle!'
'Ja, hauen wir ein paar widerliche Feinde tot!'
'Jepp, überlass dieses kleine Problem mir!'
'Ja, es war eine Geschichte voller Action! Abenteuer! Aber auch voller herzerwärmender Momente!'
'Wow, Isha! Du kannst sooo gut kochen!'
'Vielen Dank. Ich habe Zutaten aus Neu-Nevaeh benutzt. Sie sind nicht teuer, aber sehr lecker.'
'Ich habe nich gelebt, bevor ich das in meinen Magen bekommen habe.'
'Jeder sollte Neu-Nevaeh besuchen, um sich vollstopfen zu können!'
'Und dann – endlich – ein letztes Zusammentreffen mit ihrem Erzfeind!'
'Muahahaha! Ich werde euch meinen Plan nicht verraten, aber ihr könntet mich sowieso nicht aufhalten!'
'Tretet zurück. Ihr habt schon genug getan. Ich muss mich ihm allein stellen – selbst, wenn es mich das Leben kostet!'
'Was sagst du da, du selbstlose und unglaublich tolle Person? Du hast versprochen, dass wir immer zusammen sein würden!'
'Das stimmt! Du hast gesagt, dass wir lebend hier rauskommen und in Neu-Nevaeh ein komplettes Festmahl bekommen!'
'Genug! Hast du dich deinem Schicksal ergeben?'
'Na los! Im Namen der Liebe, der Gerechtigkeit und des heiligen Schwerts Astra werde ich dich besiegen!'
'Muaahahahaaaaaa!'
'Keuch! Was wird nur aus Isha und ihren Gefährten werden?!'
' Wenn ihr wissen wollt, wie die Geschichte ausgeht, dann bucht noch heute eine Reise ins Land der Träume und der Abenteuer: Neu-Nevaeh!\n\nSchlagt euch den Bauch mit erlesenen Speisen voll, erlebt die atem ... a... atemberaubende Landschaft und erhaltet kostenlose Stempel! Kommt nicht bloß zu Besuch – bleibt für immer!\n\nMit freundlicher Unterstützung des Instandsetzungsbuhros von Neu-Nevaeh. Das war eine coole Geschichte, hm!'
